以下は動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回は返答はいりませんが覚えた動画タイトル数だけ教えてください。

仮想通貨とNFTで騙される人②情報漏れとハッキングを防ぐ方法	2 日前	150,897 
ロスチャイルド家①世界を裏で牛耳る華麗なる一族	2 年前	254,168 
クラシック音楽史②モーツァルトとベートヴェンの数奇な運命	2 年前	450,688 
クラシック音楽史①世界共通の教養が身につく音楽の歴史	2 年前	738,685 
鬼滅の刃②中田の大ヒット分析は「伝統と革新× 配信インフラ」	2 年前	420,850 
鬼滅の刃①大ヒットの理由を徹底分析藤森慎吾と関連動画コラボ	2 年前	220,885 
華麗なるギャツビー②戦勝国アメリカに生きた人々の狂騒と喪失	2 年前	574,726 
華麗なるギャツビー①20世紀最高の小説〜狂騒の1920年代アメリカ〜	2 年前	932,121 
1984年②現代と類似する監視社会の結末は？	2 年前	556,212 
1984年①恐怖の監視社会を描いたディストピア近未来小説	2 年前	000,879 
宇宙②20世紀最大の天才アインシュタインと宇宙創成の謎	2 年前	975,308 
宇宙①人類最大の謎に挑む天才たちの戦い	2 年前	060,278 
コロナ時代をどう生きる？②自粛解除後の日本は一体どうなる？	2 年前	717,898 
コロナ時代をどう生きる？①緊急事態を乗り越えるための三段階	2 年前	802,181 
暗号解読②エニグマと天才数学者の数奇な運命	2 年前	947,808 
暗号解読①人類の歴史を変えた天才たちのドラマ	2 年前	577,635 
数学をつくった天才たち②数学とは異常な天才が楽しむ最高の学問	2 年前	425,062 
数学をつくった天才たち①数奇な運命を辿った愛すべき変人	2 年前	771,261 
ランチェスター戦略②中田がYouTubeで勝つための戦略とは？	2 年前	766,206 
ランチェスター戦略①弱者が強者に勝つための法則	2 年前	463,206 
フェルマーの最終定理②天才が残した300年前の難問に終止符	2 年前	902,078 
フェルマーの最終定理①300年前に天才が残した数学界最大の難問	2 年前	199,456 
伝え方が9割②中田が実践「大好き」を伝える10の技術	2 年前	347,893 
伝え方が9割①そうだ Noの答えをYESに変えよう	2 年前	179,174 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

GIVE&TAKE②人当たりのいい戦略型テイカーの見分け方	2 年前	074,887 
GIVE&TAKE①与える人こそ成功する時代	2 年前	420,325 
シン・ニホン②若者を犠牲にする国に未来はない	2 年前	618,087 
シン・ニホン①アフターコロナの日本はもう一度立ち上がれる	2 年前	137,210 
科学的な適職②仕事の幸福度を決める7つの徳目	2 年前	064,656 
科学的な適職①Withコロナ時代の職業の選び方	2 年前	207,626 
スラムダンク②激突！湘北vs山王工業	2 年前	178,574 
スラムダンク①史上最高のバスケットボール漫画〜魂の授業〜	2 年前	786,973 
中田敦彦vs田口淳之介②〜真実の顔〜XENO ゼノ	2 年前	229,053 
中田敦彦vs田口淳之介①〜立ち上がる貴族〜XENO ゼノ	2 年前	418,658 
田口淳之介×中田敦彦ジャニーズ退所から大麻逮捕まで禁断トーク！	2 年前	814,093 
岡本太郎②命を危険にさらすと勇気が湧いてくる	2 年前	413,666 
岡本太郎①今最も必要な勇気が湧く言葉たち「迷ったら危険な道に賭けろ」	2 年前	761,684 
最高の睡眠②新型コロナウイルスから身を守る安眠法	2 年前	031,107 
最高の睡眠①免疫力を高める睡眠は新型コロナウイルス感染の防御策	2 年前	694,299 
AKIRA②2020東京五輪延期＆新型コロナ蔓延を予言！？	2 年前	371,330 
AKIRA①2020東京五輪延期＆新型コロナ蔓延を予言！？	2 年前	959,326 
今読むべき小説ペスト②ロックダウンは恐怖から疲労へ	2 年前	757,373 
今読むべき小説ペスト①ロックダウンされた街	2 年前	217,058 
コロナショック②ウイルスにしっかり対応していこう	2 年前	068,889 
コロナショック①ウイルスとは何か？	2 年前	654,371 
中田敦彦vs宮迫博之②〜白か黒か もしくは〜XENO ゼノ	2 年前	493,262 
中田敦彦vs宮迫博之①〜降りしきる雨〜XENO ゼノ	2 年前	896,490 
東京五輪延期②2021年の東京オリンピックは一体どうなる？	2 年前	468,270 
東京五輪延期①オリンピックの光と影	2 年前	681,939 
世界を変えた感染症の歴史②感染症を正しく恐れるために歴史に学ぶ	2 年前	176,777 
世界を変えた感染症の歴史①想像を絶する人類の戦い	2 年前	681,144 
AI vs.教科書が読めない子どもたち②読解力がない人間は仕事を奪われる	2 年前	546,359 
AI vs.教科書が読めない子どもたち①人間はAIに仕事を奪われる？	2 年前	919,482 
火の鳥 鳳凰編②生きるとは何か。天才・手塚治虫の最高傑作	2 年前	833,915 
火の鳥 鳳凰編①中田の人生史上No.1マンガ	2 年前	482,798 
宮迫博之×中田敦彦雨上がり決死隊・宮迫さんとYouTube初コラボ！吉本騒動に迫る	3 年前	826,651 
罪と罰ドストエフスキー〜天才は人を殺しても罪にならないのか〜	3 年前	425,755 
伊沢拓司×中田敦彦QuizKnock伊沢さんと初トーク！実は似ている？	3 年前	338,085 
中田敦彦vs伊沢拓司② 〜芸術の領域〜XENO ゼノ	3 年前	009,987 
中田敦彦vs伊沢拓司① 〜完璧な挑戦者〜XENO ゼノ	3 年前	273,591 
嫌われる勇気トラウマは存在しない	3 年前	357,688 
世界史⑧帝国主義 〜栄光のヴィクトリアと鉄血のビスマルク〜	3 年前	763,256 
世界史⑦革命時代 〜紅茶を捨てたワシントン、ロシアで凍ったナポレオン〜	3 年前	993,683 
世界史⑥絶対王政 〜パリの中心で「朕は国家なり」と叫んだルイ14世〜	3 年前	872,479 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

世界史⑤宗教改革 〜反逆のルターとインチキ免罪符〜	3 年前	861,240 
世界史④大航海時代 〜コロンブス、そこはインドじゃない〜	3 年前	987,290 
世界史③十字軍 〜謝罪する皇帝と憤死する教皇〜	3 年前	200,001 
世界史②ローマ帝国 〜笑うカエサル、ふりむけばブルータス〜	3 年前	355,532 
世界史①古代ギリシャ 〜天才アレクサンドロス、東へ〜	3 年前	330,606 
未来予測③2030年の世界	3 年前	922,692 
未来予測②2030年の世界	3 年前	982,857 
未来予測①2030年の世界	3 年前	068,260 
Think Smart③期待する事で能力が花開く	3 年前	437,712 
Think Smart②嫉妬が成功を妨げる	3 年前	641,551 
Think Smart①成功を妨げる思い込み	3 年前	125,430 
江戸川乱歩③「D坂の殺人事件」〜容疑者 明智小五郎と哀しき変態たち〜	3 年前	474,600 
江戸川乱歩②「屋根裏の散歩者」解決編	3 年前	479,277 
江戸川乱歩①「屋根裏の散歩者」事件編	3 年前	679,147 
堀江貴文×中田敦彦〜ホリエモンが嬉々として語る！次に来るビジネスとは？〜	3 年前	633,282 
中田敦彦vs堀江貴文②〜逝ってらっしゃい〜XENO ゼノ	3 年前	473,800 
中田敦彦vs堀江貴文① 〜戯れる鬼〜XENO ゼノ	3 年前	916,655 
堀江貴文③フジテレビvsライブドアの真相	3 年前	898,779 
堀江貴文②フジテレビvsライブドアの真相	3 年前	953,890 
堀江貴文①フジテレビvsライブドアの真相	3 年前	490,671 
バビロン大富豪の教え③黄金法則…お金より知恵には価値がある！	3 年前	763,959 
バビロン大富豪の教え②金持ちと貧しき者の間にある壁とは！？	3 年前	885,538 
バビロン大富豪の教え①100年読み継がれる世界的お金の名著！	3 年前	328,354 
経営計画③方針を決めた後はスケジュール＆マニュアル化	3 年前	425,220 
経営計画②具体的な経営計画の立て方	3 年前	589,431 
経営計画①強いチームを作るための魔法の道具	3 年前	203,423 
中田敦彦vsヒカル② 〜嘘という光〜XENO ゼノ	3 年前	019,079 
中田敦彦vsヒカル①〜強運のカリスマ〜XENO ゼノ	3 年前	860,462 
EXIT戦略③次世代の大富豪になる極意	3 年前	371,130 
EXIT戦略②M&Aは今後のビジネストレンド	3 年前	441,897 
EXIT戦略①お金持ちになる唯一の方法	3 年前	648,804 
金持ち父さん③日本のファイナンシャル・リテラシーを上げる！	3 年前	581,885 
金持ち父さん②不労所得を得るために	3 年前	130,303 
金持ち父さん①お金持ちになる手順	3 年前	569,056 
Think clearly③大きすぎる夢を持つな！	3 年前	821,082 
Think clearly②嫌な仕事は断れ！本音を出すな！	3 年前	014,136 
Think clearly①取捨選択で人生をクリアに	3 年前	293,381 
ワイン③被害総額120億円！偽造ワイン	3 年前	494,700 
ワイン②フランスとアメリカのワイン	3 年前	599,679 
ワイン①世界史の裏にワインあり	3 年前	969,477 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

あらすじ名作落語③	3 年前	402,157 
あらすじ名作落語②	3 年前	297,000 
あらすじ名作落語①	3 年前	458,155 
落語の歴史③ あらすじを覚えておくべき名作古典4選を披露！	3 年前	438,023 
落語の歴史②落語の構成や登場人物がわかるとさらに面白い！	3 年前	372,169 
落語の歴史①日本人なら知っておきたい伝統芸能	3 年前	549,603 
ヒカル×中田敦彦 異端児のふたりが初コラボ！YouTubeの未来を語り尽くす！	3 年前	264,521 
人を動かす③批判せず褒める！	3 年前	701,913 
人を動かす②人に好かれる原則とは？	3 年前	959,301 
人を動かす①人の心を突き動かす行動の原則	3 年前	450,029 
7つの習慣⑥完結！4つの刃を研ぐ	3 年前	870,690 
7つの習慣⑤まずは理解し、理解される	3 年前	012,868 
7つの習慣④Win-Winを考える	3 年前	197,154 
7つの習慣③大切な事を優先する	3 年前	463,192 
7つの習慣②主体的である・終わりから思い描く	3 年前	955,402 
7つの習慣①序章！	3 年前	148,393 
安倍内閣③政治の歴史を学ぶと次の政権が見えてくる！	3 年前	735,166 
安倍内閣②日本の実質No.2菅官房長官を徹底解剖！	3 年前	053,708 
安倍内閣①現政権の中心人物を知れば政治がもっと面白くなる	3 年前	323,246 
バブル崩壊③リクルート事件とバブル崩壊の核心！	3 年前	820,630 
バブル崩壊②ダイエーのイノベーションと受難！	3 年前	921,538 
バブル崩壊①熱狂と崩壊 誰が日本経済を潰したのか？	3 年前	465,165 
自民党③最終章…そして世襲議員時代へ！	3 年前	750,947 
自民党②日本を揺るがす大事件が次々勃発	3 年前	890,292 
自民党①派閥争いと嫉妬の人間ドラマ	3 年前	369,965 
小泉純一郎②聖域なき構造改革の功罪	3 年前	699,037 
小泉純一郎①自民党をぶっ壊す！	3 年前	066,145 
三国志④三国の壮大な戦いを制したのは誰だ！？	3 年前	717,188 
三国志③官渡の戦い・天下三分の計・赤壁の戦い！	3 年前	830,520 
三国志②群雄割拠の乱世に突入！劉備・関羽・張飛が初陣	3 年前	169,936 
三国志①英雄たちの夜明け！授業リクエストNo.1の超大作	3 年前	630,621 
DaiGo×中田敦彦心理学でYouTubeヒットの法則を徹底分析！	3 年前	053,868 
中田敦彦vsDaiGo② 〜原点にして頂点〜XENO ゼノ	3 年前	278,978 
中田敦彦vsDaiGo①〜異能の心眼〜XENO ゼノ	3 年前	280,864 
源氏物語⑧世界最古の切ない恋物語、ついに最終回	3 年前	433,209 
源氏物語⑦光源氏の栄光とかげり	3 年前	429,187 
源氏物語⑥光源氏の栄光とかげり	3 年前	499,824 
源氏物語⑤2部3部編スタート	3 年前	641,163 
源氏物語④光源氏vs頭中将…感動のカムバック	3 年前	720,966 
源氏物語③超えてはならぬ禁断の恋	3 年前	775,224 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

源氏物語②衝撃の能力バトル＆藤壺アタック	3 年前	935,707 
源氏物語①ロイヤル・サクセス・パニックラブストーリー	3 年前	383,123 
FACTFULNESS③事実を基に行動すれば人類の未来はもっと前に進める！	3 年前	998,582 
FACTFULNESS②悪い状況と良くなっている傾向は両立できる！現状だけを見て叩くのは誰の得策にもならない	3 年前	244,934 
FACTFULNESS①ビル・ゲイツやオバマ元大統領が大絶賛した名著！	3 年前	934,032 
禅の心③どの時代どの国の人でも禅に魅了される理由とは？	3 年前	746,613 
禅の心②日本に伝来した禅の歴史とは？	3 年前	981,569 
禅の心①世界中の偉人たちはなぜ禅に魅せられるのか？	3 年前	651,388 
サピエンス全史③地球を制圧した人類は幸せなのか？そして人類の未来とは？	3 年前	565,391 
サピエンス全史②貨幣も国家も宗教もこの世界は全てフィクションである	3 年前	929,866 
サピエンス全史①1200万部突破の世界的ベストセラーを世界一わかりやすく解説	3 年前	194,697 
新選組③ 誠の武士になりたかった男たちの青春群像劇！	3 年前	536,261 
新選組②池田屋事件と薩長同盟、栄光の時代と終わりの予感！	3 年前	870,675 
新選組①時代とともに敗れ去る男たちの青春群像劇！	3 年前	951,325 
テリー伊藤x中田敦彦②中田の恩師、テリーの深い話！YouTubeを始めた理由とは？	3 年前	153,064 
テリー伊藤x中田敦彦①伝説のテレビマンの破天荒すぎるテレビ武勇伝！	3 年前	206,033 
乙武洋匡×中田敦彦②あの時の辛口コメントを３年越しに謝罪！？	3 年前	249,768 
乙武洋匡×中田敦彦①障害×テクノロジーの最前線！	3 年前	206,009 
創価学会②創価学会と公明党の歴史、現在の注目ポイントは？	3 年前	555,918 
創価学会①公明党を持つ宗教団体、そのルーツに中田が迫る	3 年前	448,537 
田中角栄②天罰か罠か陰謀か、ロッキード事件の真相！	3 年前	606,291 
田中角栄①昭和の天才政治家・田中角栄の成り上がり伝説！	3 年前	431,011 
キズナアイ×中田敦彦②キズナアイが勧めるバーチャルタレント！	3 年前	129,070 
キズナアイ×中田敦彦①とにかく会いたかった！やっぱり可愛いキズナアイ	3 年前	264,044 
千利休②切腹を命じた豊臣秀吉と千利休の数奇な運命偉人伝	3 年前	271,694 
千利休①中田が想いを馳せる戦国の巨人偉人伝	3 年前	568,414 
日本紙幣史②お札の肖像に隠された日本政府の思惑とは？	3 年前	597,792 
日本紙幣史①お札の顔の偉人で紐解く日本の歴史！	3 年前	275,760 
ゴッホ②狂気の天才、その鮮烈な輝きと闇偉人伝	3 年前	593,586 
ゴッホ①絵画の革命「印象派」の歴史と不遇の天才画家ゴッホ	3 年前	874,364 
日本宗教史⑤日本の宗教とは何か？仏教と神道の歴史決定版	3 年前	791,043 
日本宗教史④日本人の思想の源流「仏教と神道」	3 年前	112,530 
日本宗教史③神社と寺、中田流の楽しみ方を伝授！	3 年前	082,863 
日本宗教史②人気の神社仏閣を徹底解説！	3 年前	635,358 
日本宗教史①日本人が知っておくべき神社と寺の歴史とは？	3 年前	516,391 
アメリカ・シリコンバレーDay2〜YouTube・Airbnb・AmazonGO・自動運転車・アメリカ格差社会の光と闇〜	3 年前	373,945 
アメリカ・シリコンバレーDay1〜最先端IT企業に潜入〜	3 年前	478,216 
歌舞伎②日本の伝統芸能「歌舞伎」の人気演目を徹底解説！	3 年前	395,943 
歌舞伎①日本の伝統芸能を見に行きたくなる授業！	3 年前	669,389 
ダヴィンチ②最後の晩餐やモナ・リザに隠された秘密とは？偉人伝	3 年前	542,310 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

ダヴィンチ①万能の天才レオナルド・ダ・ヴィンチ！絵画全13作品を徹底解剖偉人伝	3 年前	441,521 
イギリス史②イギリス黄金時代、産業革命…そしてEU離脱の現代へ	3 年前	404,416 
イギリス史①イギリスの知られざる成り立ちと侵略の歴史！	3 年前	153,256 
アメリカ史③世界大戦＆現代のハイテク戦争！	3 年前	150,291 
アメリカ史②ゴールドラッシュ＆奴隷解放宣言！	3 年前	135,035 
アメリカ史①新大陸発見から激闘の歴史！	3 年前	729,090 
東洋哲学史④成功なんてしなくていい！欲望は持つな	3 年前	651,569 
東洋哲学史③儒教を無効化するライバル「道教」	3 年前	838,328 
東洋哲学史②意識高い系儒教 vs スローライフ系道教	3 年前	700,219 
東洋哲学史①春秋戦国時代の思想家たち「諸子百家」	3 年前	083,550 
論語と算盤③何を志し、誰のために生きるか？	3 年前	098,193 
論語と算盤②成功に必要なのは常識と習慣！	3 年前	299,187 
論語と算盤①中田敦彦史上No.1書籍！渋沢栄一の名著	3 年前	463,485 
孫子の兵法②曹操・徳川家康・ビルゲイツの愛読書！	3 年前	413,790 
孫子の兵法①世界最高の戦略書！	3 年前	640,108 
君たちはどう生きるか③過ちを乗り越えた先にある真理とは？令和をどう生きる？	3 年前	578,839 
君たちはどう生きるか②勉強・発見・貧乏・ありがたい・偉大な人とは何か？	3 年前	748,819 
君たちはどう生きるか①歴史的名著！2018年一番読まれた本を中田が解説	3 年前	214,937 
お金の授業②素人でもできる投資の鉄則を教えます！	3 年前	341,970 
お金の授業①学校では教えてくれない「資産運用の鉄則」素人が必ずハマる罠編	3 年前	314,090 
西洋哲学史③現代社会をどう生きるか？幸福とは何か	3 年前	011,661 
西洋哲学史②神から人へ キリスト教と西洋哲学	3 年前	115,143 
西洋哲学史①時代の常識を疑え！	3 年前	027,306 
大麻②麻薬から自分の身を守るための授業！日本の大麻合法化はどうなる？	3 年前	090,483 
大麻①危険ドラッグや大麻から自分の身を守るための授業	3 年前	964,268 
年金問題②人生100年時代に一生お金に困らない方法とは？	3 年前	445,598 
年金問題①老後2000万円不足の真意とは？年金の本質を理解すれば老後の不安が解消！	3 年前	402,183 
ラファエル×中田敦彦②ヒカキン、はじめしゃちょー、ヒカル、フィッシャーズ…人気YouTuberを語る！	3 年前	074,933 
ラファエル×中田敦彦①ラファエルは令和の○○！？中田の意外な分析にラファエル驚愕	3 年前	213,964 
eスポーツ②次世代ムーブメントの未来を中田が完全予測！○○億円を稼ぐ中学生ゲーマも出現！？	3 年前	425,711 
eスポーツ①次世代ムーブメントを中田が徹底解説！現代のゴールドラッシュを知らなきゃ損！	3 年前	702,395 
ギリシャ神話⑩オデュッセウス編！	3 年前	695,189 
ギリシャ神話⑨トロイア戦争編！	3 年前	742,963 
ギリシャ神話⑧戦争の物語編！	3 年前	834,420 
ギリシャ神話⑦英雄の物語 最終話！	3 年前	864,481 
ギリシャ神話⑥英雄テセウス編！	3 年前	924,079 
ギリシャ神話⑤英雄ヘラクレス編！	3 年前	076,881 
ギリシャ神話④英雄ペルセウス編！	3 年前	349,815 
ギリシャ神話③ゼウスの浮気とパンドラの箱！	3 年前	278,251 
ギリシャ神話②全知全能のゼウス登場！	3 年前	497,164 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

ギリシャ神話①古代の神々の物語！	3 年前	532,030 
マクベス③悲劇の最終回！〜そして、森が動きだす〜	3 年前	548,189 
マクベス②シェイクスピアの傑作 〜夢か、狂気か〜	3 年前	690,160 
マクベス①シェイクスピアの傑作 〜お前は王になるだろう〜	3 年前	166,709 
古事記④日本の神話 最終話 〜日本人が知らない空白の歴史に迫る！〜	3 年前	482,962 
古事記③英雄ヤマトタケルの能力と悲劇	3 年前	978,691 
古事記②日本の神 スサノオ＆オオクニヌシ	3 年前	648,019 
古事記①日本の神話が面白い 〜日本の成り立ちを知っていますか？〜	3 年前	221,049 
アメリカ大統領選挙②この動画を観れば選挙観戦が１００倍面白くなる	3 年前	889,391 
アメリカ大統領選挙①仕組みが分かるともっと面白くなる！日本に影響を与えるビッグイベント	3 年前	367,517 
東南アジア⑥カンボジア＆ミャンマーの歴史	3 年前	190,852 
東南アジア⑤タイ＆フィリピンの歴史	3 年前	170,332 
東南アジア④マレーシア＆インドネシアの歴史	3 年前	824,119 
東南アジア②ASEAN誕生の歴史、日本が知るべき東南アジア	3 年前	170,356 
東南アジア①東南アジア現代史とASEAN	3 年前	700,027 
宗教史②聖地エルサレムを巡るパレスチナ問題	3 年前	923,410 
宗教史①ユダヤ教・キリスト教・イスラム教の歴史	3 年前	290,329 
中東と紛争②終わらない紛争の理由を歴史から読み解く	3 年前	386,145 
中東と紛争①なぜ国際紛争が絶えないのか？絡み合う諸外国の利害	3 年前	888,624 
ロシアと北方領土②北方領土問題の未来は？日本とロシアの関係はどうなる？	3 年前	858,408 
ロシアと北方領土①隣の国だけど？謎に包まれた国ロシアとその歴史	3 年前	018,269 
EUとイギリス②イギリス、EU離脱延期法案を可決！人類の歴史は繰り返されるのか！？	3 年前	380,081 
EUとイギリス①イギリスのEU離脱！日本の未来にも関わる人類の大問題	3 年前	228,684 
香港と中国②香港デモはなぜ起きたのか！？歴史を学べば今が分かる	3 年前	608,337 
香港と中国①中国現代史と香港デモ騒動！歴史を学べば今が分かる	3 年前	357,702 
韓国＆北朝鮮③韓国大統領の悲劇＆朝鮮半島の未来とは？	3 年前	816,801 
韓国＆北朝鮮②独裁国家「北朝鮮」その驚きの歴史	3 年前	011,489 
韓国＆北朝鮮①朝鮮半島の歴史と反日感情の理由	3 年前	795,742 
日韓関係②日本と韓国の未来は一体どうなるのか！？한일 관계 ②일본과 한국의 미래는 도대체 어떻게되는 것인가？	3 年前	453,455 
日韓関係①日本と韓国の歴史한일 관계 ①일본과 한국의 역사	3 年前	537,695 
アメリカvs中国②5G時代のハイテク冷戦を制する国はどっちだ！？	3 年前	338,954 
アメリカvs中国①ハイテク冷戦！5G時代の世界を牛耳る国はどっちだ！？	3 年前	431,738 
仮想通貨②仮想通貨の未来とは？Libraが世界の通貨を支配する！？	3 年前	344,404 
仮想通貨①ビットコインの歴史は壮大なサスペンスドラマ	3 年前	009,044 
ブロックチェーン②5G時代の最終兵器は GAFAを倒す革命的な技術	3 年前	786,883 
ブロックチェーン①5G時代の最終兵器〜人類の未来を変える大発明〜	3 年前	117,059 
次世代通信5G②5Gで世界は変わる！変革する未来を先取り	3 年前	653,849 
次世代通信5G①5Gで世界は変わる！インターネットが普及した時以上の革命	3 年前	630,168 
AI・人工知能②AIの最終形態「ドラえもん」は誕生するのか！？	3 年前	149,284 
AI・人工知能①AIを知れば未来が見えてくる！	3 年前	953,065 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

特別編NewsPicks「NEXT」#2 SONY	3 年前	126,036 
特別編NewsPicks「NEXT」#1 SoftBank	3 年前	157,558 
OWNDAYS田中修治×中田敦彦②ラストに中田から重大発表！	3 年前	225,107 
OWNDAYS田中修治×中田敦彦①破天荒フェニックスの素顔	3 年前	341,666 
箕輪厚介×中田敦彦②エクストリームイノベーター#04	3 年前	319,760 
箕輪厚介×中田敦彦①エクストリームイノベーター#03	3 年前	440,482 
堀江貴文×中田敦彦②エクストリームイノベーター#02	3 年前	647,093 
堀江貴文×中田敦彦①エクストリームイノベーター#01	3 年前	079,969 
消費税 増税②増税は本当に必要なのか！？〜不都合な真実〜	3 年前	480,084 
消費税 増税①なぜ増え続ける？増税の裏に隠された歴史	3 年前	679,033 
原発問題②国家や大企業の利権が絡む原発の真相	3 年前	890,735 
原発問題①人類の課題「原発」の歴史	3 年前	402,529 
憲法改正②第９条の本質に中田が切り込む！	3 年前	139,321 
憲法改正①問題の基礎知識を中田がわかりやすく解説	3 年前	478,606 
日本の選挙②国家予算１００兆円の使い道は！？〜選挙入門編〜	3 年前	331,401 
日本の選挙①投票に行かないと損する！？〜選挙入門編〜	3 年前	799,549 
星の王子様②サン＝テグジュペリあれが僕の薔薇だから	3 年前	676,092 
星の王子様①サン＝テグジュペリ本当に大切なものは目には見えない	3 年前	983,451 
カジサック×中田敦彦②成功までの苦悩を初告白＆キングコング感動秘話	3 年前	898,577 
カジサック×中田敦彦①ついにコラボ！初出しトーク連発５０万人突破記念	3 年前	246,168 
銀河鉄道の夜②本当の最高傑作とは？	3 年前	639,199 
銀河鉄道の夜①宮沢賢治の描く美しい物語	3 年前	947,256 
山月記②中島敦教科書の定番〜徹底解説編＆中田の決意表明〜	3 年前	629,507 
山月記①中島敦教科書の定番〜ストーリー編〜	3 年前	951,850 
山椒大夫②森鴎外の名作〜中田のパーフェクト解説〜	3 年前	364,750 
山椒大夫①森鴎外の名作〜ストーリー編〜	3 年前	553,985 
三四郎②夏目漱石の純愛小説〜ストーリー後編＆パーフェクト分析〜	3 年前	501,069 
三四郎①夏目漱石の純愛小説〜ストーリー前編〜	3 年前	704,555 
人間失格③中田敦彦と又吉直樹の徹底分析	3 年前	240,190 
人間失格②最も日本人に読まれている小説	3 年前	588,399 
人間失格①太宰治の最高傑作	3 年前	328,374 
RADIOFISHプロダンサーが米津玄師「Lemon」を本気で踊ってみた＆藤森がプレゼン「中田敦彦の好きなところＢＥＳＴ５」＆中田から重大発表４０万人突破記念	3 年前	793,312 
藤森慎吾が米津玄師「Lemon」を歌ってみた４０万人突破記念	3 年前	357,591 
羅生門芥川龍之介の傑作「鼻／地獄変／西方の人」を一挙解説！	3 年前	287,707 
仮面の告白②世界が三島由紀夫を認めた衝撃のラストシーンとは？	3 年前	942,379 
仮面の告白①三島由紀夫の自伝的小説！センセーショナルすぎる名作文学	3 年前	454,749 
こころ②たった３０分で夏目漱石「こころ」の魅力の全てが丸わかり	3 年前	476,703 
こころ①夏目漱石！累計発行部数７００万部超えの不朽の名作	3 年前	866,511 
アリババ創業者ジャック・マー絶対に諦めない不屈のマインドで落ちこぼれからアジアナンバー１起業家に上り詰めた男偉人伝	3 年前	373,005 
渋沢栄一②日本に資本主義をもたらした男がなぜ今までお札の顔にならなかった？偉人伝	3 年前	870,481 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

渋沢栄一①新１万円札の顔！近代日本経済の父の数奇な人生偉人伝	3 年前	310,582 
Twitter創業者ジャック・ドーシー②時代の最先端を突き進む男は次にどこを目指す？偉人伝	3 年前	404,356 
Twitter創業者ジャック・ドーシー①第2のスティーブ・ジョブズの異名を持つ天才起業家偉人伝	3 年前	568,714 
Google創業者ラリー・ペイジ②リアルパーフェクトヒューマンが見据える未来とは？偉人伝	3 年前	967,011 
Google創業者ラリー・ペイジ①ITの申し子を知れば未来が分かる偉人伝	3 年前	329,574 
スティーブ・ジョブズ②天才経営者が大切にしていたマインドとは？偉人伝	3 年前	867,802 
スティーブ・ジョブズ①世界を変えた大胆な行動力とデザインへのこだわり偉人伝	3 年前	266,384 
坂本龍馬②幕末の英雄が後世に受け継いだ意志とは？偉人伝	3 年前	475,660 
坂本龍馬①幕末の英雄から新時代の生き方を学ぶ偉人伝	3 年前	181,701 
孫正義②Yahoo設立からiPhone独占販売！パワフルな直談判	3 年前	935,058 
孫正義①アメリカ留学からSoftBank創業秘話まで偉人伝	3 年前	426,232 
オリラジ藤森慎吾の特別授業②究極の快感「ととのう」を熱血プレゼン	3 年前	011,937 
オリラジ藤森慎吾の特別授業①愛してやまないサウナの魅力をプレゼン	3 年前	183,316 
日本史11完結編〜終戦から令和へ〜	3 年前	002,140 
日本史⑩世界大戦の時代へ！日清戦争・日露戦争・第一次世界大戦	3 年前	702,044 
日本史⑨明治維新！戊辰戦争・西南戦争・そして世界大戦へ	3 年前	170,688 
ジェフ・ベゾス②amazon創業者が世界一の大富豪になれた理由偉人伝	3 年前	925,401 
ジェフ・ベゾス①amazon創業者！世界一の成功哲学偉人伝	3 年前	398,468 
日本史⑧徳川家康のパーフェクトコントロール！そして明治時代へ	3 年前	801,687 
日本史⑦江戸時代へ！豊臣秀吉の天下統一＆徳川家康と大坂夏の陣	3 年前	593,875 
日本史⑥ついに戦国時代編！織田信長と豊臣秀吉がいよいよ登場	3 年前	469,669 
チンギス・ハン②成功の軌跡＆後継者争いで壮絶なドラマが！偉人伝	3 年前	952,095 
チンギス・ハン①モンゴル帝国の初代皇帝偉人伝	3 年前	553,609 
日本史⑤室町時代！母の愛が日本を揺るがす大事件「応仁の乱」	3 年前	615,717 
日本史④鎌倉時代の終焉！日本vsモンゴル帝国＆NEW仏教SIX	3 年前	741,434 
日本史③鎌倉時代！源頼朝vs義経・北条氏の執権・モンゴル帝国襲来	3 年前	769,351 
